MD,P,T
1595.0,117.263,148.7
1597.0,117.422,149.028
1599.0,117.573,149.379
1601.0,117.721,149.763
1603.0,117.881,150.04
1605.0,118.043,150.309
1607.0,118.201,150.634
1609.0,118.359,150.894
1611.0,118.517,151.229
1613.0,118.675,151.497
1615.0,118.833,151.779
1617.0,118.988,151.996
1619.0,119.145,152.189
1621.0,119.308,152.379
1623.0,119.467,152.556
1625.0,119.623,152.725
1627.0,119.78,152.86
1629.0,119.94,153.019
1631.0,120.107,153.186
1633.0,120.261,153.443
1635.0,120.418,153.62
1637.0,120.584,153.745
1639.0,120.737,153.871
1641.0,120.885,153.976
1643.0,121.032,154.049
1645.0,121.186,154.121
1647.0,121.265,155.144
1649.0,121.266,155.472
1651.09,121.2652,155.687
