MD,P,T
1268.0,94.7,114.506
1270.0,94.87,114.503
1272.0,95.053,114.494
1274.0,95.248,114.486
1276.0,95.435,114.479
1278.0,95.618,114.469
1280.0,95.808,114.461
1282.0,95.994,114.454
1284.0,96.172,114.447
1286.0,96.347,114.441
1288.0,96.522,114.431
1290.0,96.696,114.426
1292.0,96.881,114.422
1294.0,97.072,114.415
1296.0,97.244,114.408
1298.0,97.401,114.403
1300.0,97.568,114.4
1302.0,97.746,114.393
1304.0,97.918,114.388
1306.0,98.099,114.384
1308.0,98.277,114.38
1310.0,98.457,114.378
1312.0,98.643,114.375
1314.0,98.829,114.369
1316.0,99.007,114.365
1318.0,99.178,114.364
1320.0,99.354,114.364
1322.0,99.542,114.366
1324.0,99.721,114.368
1326.0,99.895,114.372
1328.0,100.074,114.377
1330.0,100.25,114.38
1332.0,100.437,114.383
1334.0,100.616,114.386
1336.0,100.786,114.391
1338.0,100.97,114.393
1340.0,101.154,114.397
1342.0,101.333,114.401
1344.0,101.514,114.405
1346.0,101.68,114.41
1348.0,101.843,114.414
1350.0,102.009,114.42
1352.0,102.179,114.427
1354.0,102.363,114.437
1356.0,102.546,114.445
1358.0,102.723,114.454
1360.0,102.897,114.461
1362.0,103.07,114.465
1364.0,103.252,114.474
1366.0,103.438,114.49
1368.0,103.622,114.505
1370.0,103.806,114.517
1372.0,103.981,114.529
1374.0,104.154,114.541
1376.0,104.341,114.555
1378.0,104.532,114.58
1380.0,104.717,114.618
1382.0,104.888,114.693
1384.0,105.04,114.783
1386.0,105.194,114.877
1388.0,105.368,114.995
1390.0,105.554,115.096
1392.0,105.734,115.195
1394.0,105.909,115.296
1396.0,106.078,115.374
1398.0,106.247,115.448
1400.0,106.428,115.555
1402.0,106.612,115.69
1404.0,106.776,115.881
1406.0,106.956,116.051
1408.0,107.138,116.277
1410.0,107.317,116.555
1412.0,107.51,116.87
1414.0,107.689,117.148
1416.0,107.862,117.415
1418.0,108.041,117.703
1420.0,108.226,118.012
1422.0,108.408,118.272
1424.0,108.593,118.57
1426.0,108.769,118.884
1428.0,108.946,119.198
1430.0,109.122,119.586
1432.0,109.288,119.88
1434.0,109.469,120.211
1436.0,109.651,120.604
1438.0,109.827,121.075
1440.0,110.004,121.541
1442.0,110.185,122.016
1444.0,110.372,122.531
1446.0,110.556,123.142
1448.0,110.737,123.697
1450.0,110.919,124.461
1452.0,111.096,125.239
1454.0,111.273,126.056
1456.0,111.448,126.846
1458.0,111.608,127.711
1460.0,111.765,128.476
1462.0,111.939,129.167
1464.0,112.112,129.989
1466.0,112.285,130.689
1468.0,112.46,131.305
1470.0,112.634,131.915
1472.0,112.806,132.497
1474.0,112.977,133.074
1476.0,113.159,133.659
1478.0,113.332,134.317
1480.0,113.504,135.05
1482.0,113.695,135.944
1484.0,113.882,136.686
1486.0,114.063,137.451
1488.0,114.148,138.141
1490.0,114.145,138.309
1491.2,114.1479,138.298
